Step Time(ns) rpsystem.singlet rpsystem.t0 rpsystem.tp rpsystem.tm rpsystem.identity 
1 443 0.350034 0.200539 0.185309 0.264118 1 
1 444 0.332 0.217 0.182126 0.268874 1 
1 445 0.314958 0.233838 0.178314 0.27289 1 
1 446 0.29922 0.250723 0.173947 0.27611 1 
1 447 0.285087 0.267311 0.16911 0.278492 1 
1 448 0.272839 0.283249 0.1639 0.280011 1 
1 449 0.262733 0.298191 0.158422 0.280655 1 
1 450 0.254993 0.311799 0.152783 0.280425 1 
1 451 0.249807 0.323761 0.147092 0.279339 1 
1 452 0.247323 0.333798 0.141457 0.277423 1 
1 453 0.247642 0.341668 0.135976 0.274714 1 
1 454 0.250821 0.347178 0.130741 0.27126 1 
1 455 0.256864 0.35019 0.125832 0.267113 1 
1 456 0.265731 0.350621 0.121315 0.262333 1 
1 457 0.277327 0.34845 0.117239 0.256983 1 
1 458 0.291514 0.343716 0.113641 0.251129 1 
1 459 0.308106 0.33652 0.110537 0.244838 1 
1 460 0.326874 0.327017 0.107932 0.238177 1 
1 461 0.347553 0.315419 0.105813 0.231215 1 
1 462 0.369842 0.301983 0.104154 0.22402 1 
1 463 0.393415 0.287005 0.102921 0.216658 1 
1 464 0.417922 0.270814 0.102069 0.209195 1 
1 465 0.442996 0.253759 0.101547 0.201698 1 
1 466 0.468266 0.236202 0.101302 0.194231 1 
1 467 0.493355 0.218505 0.101282 0.186858 1 
1 468 0.517894 0.201024 0.101436 0.179646 1 
1 469 0.541526 0.184095 0.10172 0.172659 1 
1 470 0.563914 0.168027 0.102096 0.165962 1 
1 471 0.584748 0.153095 0.102538 0.159618 1 
1 472 0.603747 0.139531 0.103029 0.153693 1 
1 473 0.620673 0.127518 0.103563 0.148246 1 
1 474 0.635325 0.117191 0.104146 0.143338 1 
1 475 0.647552 0.108628 0.104796 0.139024 1 
1 476 0.657252 0.101856 0.105538 0.135353 1 
1 477 0.664372 0.0968478 0.106409 0.132371 1 
1 478 0.668913 0.0935272 0.107448 0.130112 1 
1 479 0.670924 0.0917727 0.1087 0.128603 1 
1 480 0.670508 0.0914238 0.11021 0.127859 1 
1 481 0.66781 0.0922875 0.11202 0.127882 1 
1 482 0.66302 0.0941469 0.114169 0.128664 1 
1 483 0.656366 0.0967689 0.116685 0.130179 1 
1 484 0.648106 0.0999137 0.119589 0.132392 1 
1 485 0.638522 0.103343 0.122886 0.135249 1 
1 486 0.627914 0.106831 0.126568 0.138687 1 
1 487 0.61659 0.110168 0.130614 0.142628 1 
1 488 0.604859 0.11317 0.134983 0.146988 1 
1 489 0.593021 0.115689 0.139621 0.15167 1 
1 490 0.581359 0.117609 0.144458 0.156574 1 
1 491 0.570133 0.118858 0.149412 0.161597 1 
1 492 0.559571 0.119405 0.154388 0.166636 1 
1 493 0.549864 0.119261 0.159284 0.17159 1 
1 494 0.541159 0.118482 0.163993 0.176367 1 
1 495 0.533555 0.117161 0.168404 0.18088 1 
1 496 0.527106 0.115426 0.172409 0.185059 1 
